experiment,optimizer,n_runs,mean_loss,std_loss
2d,SGD,20,17.21266965866089,11.448830673048722
2d,Adam,20,17.212670516967773,11.448831388285383
2d,SAM_SGD,20,18.790121650695802,13.736338745277504
