epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2499746136665344,58.943333333333335,0.5941359719276428,82.4,Adam,1
2,0.4379709894657135,87.25666666666666,0.2970724687814712,91.12,Adam,2
3,0.2887148217837015,91.33,0.2586419958114624,92.12,Adam,3
4,0.2347301956653595,92.93,0.1826223924279213,94.3,Adam,4
5,0.2011275658607483,93.815,0.1771364987552166,94.43,Adam,5
6,0.1809073272864023,94.50833333333334,0.185809520843625,93.95,Adam,6
7,0.1687803892334302,94.80666666666669,0.1360935241997242,95.78,Adam,7
8,0.1499496519168218,95.365,0.1450983276486396,95.53,Adam,8
9,0.1412792690336704,95.69666666666669,0.137407782754302,95.47,Adam,9
10,0.1327877478281657,95.88666666666668,0.1281951899945736,95.92,Adam,10
