epoch,train_loss,train_acc,test_loss,test_acc
1,2.1351037558873496,23.30333333333333,1.638986979675293,35.52
2,1.4555365184783935,45.33166666666666,1.0544245260238647,61.39
3,0.930497197151184,67.78833333333333,0.7004868482589721,76.31
4,0.5504726234753926,82.29333333333334,0.3545176079988479,89.28
5,0.3729926414966583,88.33166666666666,0.2871844014406204,91.15
6,0.2923872468789418,91.13166666666666,0.2581386920213699,91.9
7,0.2377021423975626,92.815,0.2331662956237793,92.35
8,0.2121379136403401,93.48666666666666,0.1816491077661514,94.33
9,0.1908792460680008,94.165,0.1636794626951217,94.91
10,0.170256841802597,94.705,0.148877193403244,95.6
