epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.2547279001871745,58.855,0.6306941922664643,81.16,Adam,1
2,0.4972601682345072,85.545,0.3432151213169098,90.05,Adam,2
3,0.3130692413409551,90.80166666666666,0.2589005473136901,91.94,Adam,3
4,0.2414819278717041,92.78333333333332,0.1935894184589386,94.32,Adam,4
5,0.2004785213629404,93.96833333333332,0.1655984172105789,94.99,Adam,5
6,0.1742949350595474,94.71166666666667,0.1562283819019794,95.08,Adam,6
7,0.1573415062944094,95.23333333333332,0.1364781983494758,95.97,Adam,7
8,0.1435245197614034,95.63166666666666,0.141889423161745,95.65,Adam,8
9,0.1301125729600588,96.02,0.1259904373288154,96.2,Adam,9
10,0.1211267409622669,96.35,0.1400649352058768,95.39,Adam,10
