epoch,train_loss,train_acc,test_loss,test_acc
1,1.534120950126648,43.178333333333335,1.0331290110588074,65.78
2,0.8390558056195577,72.32166666666667,0.5622816133022308,83.36
3,0.5166463832060496,84.07666666666667,0.4374333591938019,86.25
4,0.3922405803521474,87.84833333333333,0.2916955658912659,91.12
5,0.3242054106712341,89.93333333333334,0.259360688662529,91.94
6,0.2847244438171387,91.14166666666668,0.2662838326573372,91.6
7,0.2496042735497156,92.335,0.2105626854419708,93.41
8,0.2264804657459259,93.045,0.2075195196151733,93.55
9,0.204056329369545,93.76166666666668,0.1861622883081436,94.05
10,0.1902181768496831,94.09666666666666,0.1956553773880004,93.73
