schedule,final_loss,iterations,optimizer,test_acc,elapsed_seconds
Constant,0.0077104261149237,2000,LR_Schedule_Demo,0.5,10.0
Cosine_Annealing,0.6071141273649729,2000,LR_Schedule_Demo,0.5,10.0
