epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,grad_norm,effective_batch_size,original_batch_size,elapsed_seconds,learning_rate,grad_noise_var
1,0.22178549196800632,83.835,0.1293579089118445,96.28333333333333,0.1293579089118445,96.28333333333333,0.999999114179888,128,128,17.580352544784546,0.00314288089084011,
2,0.09703747742981496,87.31666666666666,0.10786813596620205,97.2,0.10786813596620205,97.2,0.9999990622225159,128,128,33.2550208568573,0.003139811020870074,
3,0.07409595673731682,87.98166666666667,0.1260197058399307,96.9,0.1260197058399307,96.9,0.4569654965091524,128,128,48.769641160964966,0.0031306135263342496,
4,0.06354426744866286,88.33333333333333,0.14114690492761897,97.18333333333334,0.14114690492761897,97.18333333333334,0.805608106151714,128,128,63.95815944671631,0.003115324705541632,
5,0.05297430760781082,88.625,0.15085896088721903,97.08333333333333,0.15085896088721903,97.08333333333333,0.5415820008863451,128,128,79.7435872554779,0.003094004896483093,
6,0.04796617513801682,88.80833333333334,0.15869752394946965,97.53333333333333,0.15869752394946965,97.53333333333333,0.8031355063930756,128,128,95.71298861503601,0.0030667382387048925,
7,0.043001784383726496,88.91333333333333,0.18657382498396205,97.11666666666666,0.18657382498396205,97.11666666666666,0.2709659558992312,128,128,110.85997939109802,0.003033632341248329,
8,0.03780702061421016,89.02666666666667,0.22537021857111694,97.15,0.22537021857111694,97.15,0.9999992413052835,128,128,126.26984524726868,0.0029948178579660193,
9,0.034742128782376945,89.21833333333333,0.20845426090477787,97.48333333333333,0.20845426090477787,97.48333333333333,0.3209599215457541,128,128,141.91711950302124,0.0029504479718908266,
10,0.029188389489080306,89.28333333333333,0.22672289193786205,97.36666666666666,0.22672289193786205,97.36666666666666,0.3376907077090803,128,128,162.7881841659546,0.002900697790692418,0.30657801032066345
11,0.02850730342357841,89.34166666666667,0.21449829689524275,97.46666666666667,0.21449829689524275,97.46666666666667,0.7572320609169372,128,128,178.7155613899231,0.0028457636556072875,
12,0.023194124108196292,89.43,0.2287224809034787,97.81666666666666,0.2287224809034787,97.81666666666666,0.5981962877310941,128,128,194.5610373020172,0.0027858623665695964,
13,0.021395777433930653,89.51,0.2311427529078928,97.85,0.2311427529078928,97.85,0.6394643666496123,128,128,210.21680521965027,0.002721230326600881,
