epoch,loss,val_acc,lr
1,0.34574312411284,94.56666666666666,0.001
2,0.1465713199475224,96.46666666666667,0.001
3,0.10032064290231721,96.81666666666666,0.0001
4,0.06224735072368129,97.53333333333333,0.0001
5,0.056521936741291204,97.73333333333333,0.0001
6,0.053292970444512734,97.68333333333334,1e-05
7,0.04876762843289152,97.71666666666667,1e-05
8,0.048341911317012605,97.73333333333333,1e-05
9,0.04798609592347137,97.73333333333333,1.0000000000000002e-06
10,0.047431599825479405,97.71666666666667,1.0000000000000002e-06
