epoch,loss,val_acc,lr
1,0.3353841400471344,94.28333333333333,0.0009755282581475768
2,0.13874496703181788,95.95,0.0009045084971874736
3,0.09558366069579012,96.53333333333333,0.0007938926261462366
4,0.07001817494551364,96.95,0.0006545084971874737
5,0.05148938719527487,97.06666666666666,0.0005
6,0.03878983966586891,97.4,0.00034549150281252633
7,0.029641805539984627,97.4,0.0002061073738537635
8,0.022983057586083374,97.5,9.549150281252634e-05
9,0.018881652229443473,97.55,2.4471741852423235e-05
10,0.016709929419310668,97.53333333333333,0.0
