epoch,loss,val_acc,lr
1,0.3320920417941577,94.91666666666667,0.0009755282581475768
2,0.13706748391903267,96.5,0.0009045084971874736
3,0.09514156529035472,97.15,0.0007938926261462366
4,0.06974549439373774,97.45,0.0006545084971874737
5,0.05285707665982511,97.35,0.0005
6,0.040530427332561444,97.7,0.00034549150281252633
7,0.02990925595521821,97.78333333333333,0.0002061073738537635
8,0.023462259890930946,97.81666666666666,9.549150281252634e-05
9,0.019418168453537193,97.93333333333334,2.4471741852423235e-05
10,0.017231576637391405,98.0,0.0
