epoch,loss,val_acc,lr
1,1.4261692597120295,86.01666666666667,0.0009755282581475768
2,0.4490363990172956,89.2,0.0009045084971874736
3,0.34969545067486607,90.46666666666667,0.0007938926261462366
4,0.31100541512124347,91.33333333333333,0.0006545084971874737
5,0.2881884464720414,91.65,0.0005
6,0.27314693840900306,91.96666666666667,0.00034549150281252633
7,0.2633521901311185,92.15,0.0002061073738537635
8,0.2570922699937888,92.41666666666667,9.549150281252634e-05
9,0.25369655801716007,92.4,2.4471741852423235e-05
10,0.25216658664116925,92.41666666666667,0.0
