epoch,loss,val_acc,lr
1,0.3425681124401601,94.7,0.0009755282581475768
2,0.13784195821714626,96.35,0.0009045084971874736
3,0.09564679811192209,96.61666666666666,0.0007938926261462366
4,0.07005903096339926,96.83333333333333,0.0006545084971874737
5,0.05409632998372989,97.21666666666667,0.0005
6,0.04029379719294502,97.4,0.00034549150281252633
7,0.031238607690952082,97.3,0.0002061073738537635
8,0.02451952410446948,97.35,9.549150281252634e-05
9,0.020640712916648006,97.58333333333333,2.4471741852423235e-05
10,0.018324482140475575,97.55,0.0
