epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6437013170878092,50.6,1.2183038206100465,75.15,75.15,Unknown,1
2,1.1122403374354044,78.96333333333334,0.99293817653656,85.43,85.43,Unknown,2
3,0.942511333401998,86.84333333333333,0.8649105018615723,90.5,90.5,Unknown,3
4,0.8578476961771647,90.34833333333331,0.8069053330421447,92.77,92.77,Unknown,4
5,0.8036601141929627,92.39666666666666,0.7654749766349792,93.75,93.75,Unknown,5
6,0.7711201320012411,93.53166666666668,0.7430424735069275,94.46,94.46,Unknown,6
7,0.7503864839235942,94.12833333333332,0.730891830253601,94.81,94.81,Unknown,7
8,0.7378381216684977,94.55333333333331,0.7246597312927247,94.81,94.81,Unknown,8
9,0.7314288702011108,94.675,0.7179792793273926,95.1,95.1,Unknown,9
10,0.7276176672617595,94.905,0.7169435429573059,95.19,95.19,Unknown,10
