epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6297022073109944,50.88,1.2368197242736816,73.62,8.92,Unknown,1
2,1.104652436765035,79.56666666666666,0.958157240486145,86.48,8.92,Unknown,2
3,0.932722492281596,87.23333333333333,0.8635781387329101,90.38,8.92,Unknown,3
4,0.8539051855723063,90.45833333333331,0.8138558790206909,92.24,9.31,Unknown,4
5,0.8128525890350342,91.90333333333334,0.7804433246612549,93.22,18.16,Unknown,5
6,0.7837672592798869,92.89166666666668,0.7600071113586426,93.79,30.13,Unknown,6
7,0.7640947133382161,93.58333333333331,0.7439795009613037,94.4,39.19,Unknown,7
8,0.7509235800425211,93.97666666666667,0.7362335983276367,94.51,48.34,Unknown,8
9,0.7427024956385294,94.33333333333331,0.7332157630920411,94.66,55.2,Unknown,9
10,0.7380479085286459,94.54,0.7272642196655273,94.85,61.34,Unknown,10
