epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4575033469518026,47.72666666666667,0.8719755470275878,70.6,9.97,Unknown,1
2,0.7223444685777028,76.23333333333333,0.5311919164180756,82.45,11.2,Unknown,2
3,0.4877642736752828,84.755,0.3876695551872253,87.26,11.75,Unknown,3
4,0.3724389337698618,88.58333333333333,0.3007430755615234,90.91,14.97,Unknown,4
5,0.2968532833178838,90.97833333333334,0.2702802513360977,91.77,19.76,Unknown,5
6,0.2549832235495249,92.275,0.2204108674168586,93.44,26.15,Unknown,6
7,0.2285767741123835,93.06,0.2074214697599411,93.74,35.06,Unknown,7
8,0.2120315238157908,93.585,0.2014822284460067,94.0,43.17,Unknown,8
9,0.1999952384630839,94.04166666666669,0.1885609641075134,94.46,49.83,Unknown,9
10,0.197208176724116,94.13166666666666,0.1840017461895942,94.63,56.5,Unknown,10
