epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4786477891286214,46.94833333333333,1.0421795586585998,61.64,12.53,Unknown,1
2,0.8032569169680277,74.33833333333334,0.6001175756454468,80.64,16.78,Unknown,2
3,0.5138177668809891,83.95333333333333,0.3629359537839889,89.56,17.78,Unknown,3
4,0.3713210635503133,88.75666666666666,0.3157266100883484,90.77,18.82,Unknown,4
5,0.3076213944037755,90.645,0.2688435902357101,91.81,22.66,Unknown,5
6,0.2693892950773239,91.98333333333332,0.2385166365146637,92.58,36.25,Unknown,6
7,0.2444355256477991,92.65166666666669,0.2196194131970405,93.37,49.19,Unknown,7
8,0.2264107510169347,93.22333333333331,0.2039441242992878,93.8,56.58,Unknown,8
9,0.2172398384094238,93.40666666666668,0.1934878135979175,94.16,63.35,Unknown,9
10,0.211738286447525,93.68833333333332,0.1918752097189426,94.22,67.38,Unknown,10
