epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4233111390431723,49.61333333333334,0.8804551032066346,70.41,10.28,Unknown,1
2,0.6513146823247273,80.08,0.5092094455718994,83.42,10.34,Unknown,2
3,0.4257869982242584,87.02333333333333,0.3379700723171234,89.93,18.77,Unknown,3
4,0.3459356003284454,89.37166666666667,0.2814465078830719,91.32,28.9,Unknown,4
5,0.2932173543850581,91.09833333333331,0.2371736088991165,92.89,37.06,Unknown,5
6,0.262987815507253,91.96833333333332,0.2330247946739196,93.04,43.58,Unknown,6
7,0.2357192970911661,92.88666666666668,0.2078005085468292,93.75,47.63,Unknown,7
8,0.2206667555014292,93.36666666666666,0.1972621050238609,94.34,49.87,Unknown,8
9,0.2115875343322754,93.69333333333331,0.1872426122426986,94.44,52.26,Unknown,9
10,0.2059530706485112,93.77833333333334,0.1845870091795921,94.48,56.15,Unknown,10
