epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.5759551599502564,42.83833333333333,1.1036481411933898,59.86,10.28,Unknown,1
2,0.9397703807830812,69.15833333333333,0.6913920734405518,78.63,10.3,Unknown,2
3,0.5941084856669108,81.39333333333333,0.4574551468849182,85.33,21.83,Unknown,3
4,0.4394628877480824,86.335,0.3428642611980438,89.7,28.69,Unknown,4
5,0.355017971086502,89.26833333333333,0.3011415706276893,91.14,39.88,Unknown,5
6,0.3241081386089325,90.10666666666668,0.3016452395439148,90.97,45.64,Unknown,6
7,0.2982018038034439,91.05166666666666,0.2681242259740829,91.86,47.8,Unknown,7
8,0.2805208709875743,91.67,0.2547742788136005,92.74,49.08,Unknown,8
9,0.2727037991046905,91.80166666666666,0.2426260849535465,92.77,50.51,Unknown,9
10,0.2667887945493062,92.06166666666668,0.237876953536272,92.96,52.54,Unknown,10
