epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.440835324637095,48.00833333333333,0.9468874289512634,67.37,8.92,Unknown,1
2,0.7779908256530762,75.29833333333333,0.5376038315773011,83.61,8.92,Unknown,2
3,0.4928837692101796,84.805,0.3677899915456772,89.11,8.92,Unknown,3
4,0.3804690042654673,88.22166666666666,0.3204544167518616,90.41,9.01,Unknown,4
5,0.3231030921459198,90.04833333333333,0.2639228551387786,92.07,13.03,Unknown,5
6,0.2880547767400742,91.03,0.2507796144247055,92.33,23.14,Unknown,6
7,0.2569295123895009,92.05,0.2298558920383453,92.92,36.05,Unknown,7
8,0.2408194752931594,92.56666666666666,0.2071867499709129,93.79,46.56,Unknown,8
9,0.2299635926008224,93.00333333333332,0.2073417075514793,93.78,55.53,Unknown,9
10,0.2234043133576711,93.26833333333332,0.2008809913635253,94.09,62.62,Unknown,10
