epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.731184089978536,44.72166666666666,1.4132139720916748,62.78,62.78,Unknown,1
2,1.326504199473063,67.20333333333333,1.1637416498184203,77.62,77.62,Unknown,2
3,1.0879111906687418,80.74833333333333,0.9791378604888916,85.81,85.81,Unknown,3
4,0.931515145111084,87.84,0.8618642250061035,91.12,91.12,Unknown,4
5,0.8585042697270712,90.925,0.8140095695495605,92.92,92.92,Unknown,5
6,0.8294230900446574,91.96166666666667,0.8019665264129638,93.11,93.11,Unknown,6
7,0.8125030490875245,92.49833333333332,0.7911678909301758,93.66,93.66,Unknown,7
8,0.799456780052185,92.945,0.7846363233566285,93.78,93.78,Unknown,8
9,0.7910998306910197,93.24,0.7776272062301636,94.07,94.07,Unknown,9
10,0.7878258968353271,93.34666666666666,0.7746889587402344,94.12,94.12,Unknown,10
