epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.4321289699554445,49.68,0.8636899551391601,71.33,17.65,Unknown,1
2,0.7035875985781351,77.66666666666667,0.533561489200592,83.56,19.55,Unknown,2
3,0.4854794960816701,85.03666666666666,0.4161691495656967,87.63,18.45,Unknown,3
4,0.3813895328521728,88.25666666666666,0.3396637701749802,89.62,18.69,Unknown,4
5,0.3178162162303924,90.29333333333334,0.263035232758522,92.48,19.17,Unknown,5
6,0.2766817393143971,91.64166666666668,0.23065917532444,93.41,19.89,Unknown,6
7,0.2477318728923797,92.44833333333334,0.2172839025020599,93.73,21.44,Unknown,7
8,0.2311557883501052,92.99833333333332,0.2088725071072578,93.96,22.7,Unknown,8
9,0.220509565671285,93.35166666666667,0.202693818026781,94.14,23.51,Unknown,9
10,0.2172108761231104,93.46333333333334,0.2011951485157013,94.24,26.45,Unknown,10
