epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6199911200841268,40.02666666666666,1.182141530609131,57.58,9.58,Unknown,1
2,0.9670865136782328,67.355,0.7304720259666443,75.69,9.58,Unknown,2
3,0.6156370600382487,80.89333333333333,0.4855632309913635,85.43,9.58,Unknown,3
4,0.4462501362005869,86.30833333333334,0.3407013751983642,90.1,9.68,Unknown,4
5,0.3662783838748932,89.04166666666667,0.3069124172449112,91.0,10.89,Unknown,5
6,0.332035316546758,89.99,0.291676127409935,91.31,15.38,Unknown,6
7,0.3130288214683532,90.74833333333332,0.2838855432271957,91.63,31.9,Unknown,7
8,0.2956263602574666,91.175,0.2722777440786362,91.93,37.38,Unknown,8
9,0.2859604917367299,91.46166666666667,0.2620955922365188,92.21,41.87,Unknown,9
10,0.2806803751627604,91.59666666666666,0.2509105463504791,92.77,47.2,Unknown,10
