epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.763653452428182,43.61833333333333,1.4276028121948243,61.74,61.74,Unknown,1
2,1.246893682543437,73.37,1.0671887926101684,80.95,80.95,Unknown,2
3,0.9759518817901612,85.65,0.8870900560379028,89.66,89.66,Unknown,3
4,0.8782895172437032,89.725,0.819524768447876,92.01,92.01,Unknown,4
5,0.823939825630188,91.90166666666669,0.7862438764572144,93.58,93.58,Unknown,5
6,0.8007524474143982,92.66833333333334,0.7786183159828186,93.67,93.67,Unknown,6
7,0.7834246239026388,93.37333333333332,0.7654775201797486,94.18,94.18,Unknown,7
8,0.7731234667460124,93.69833333333334,0.7538239592552185,94.59,94.59,Unknown,8
9,0.7652740926424663,93.89166666666668,0.75045435962677,94.67,94.67,Unknown,9
10,0.761456774075826,94.19166666666666,0.7480679339408874,94.71,94.71,Unknown,10
