epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.623282312520345,40.03833333333333,1.1666145572662354,60.41,11.61,Unknown,1
2,0.9567526838938396,68.65,0.72527955493927,77.12,18.4,Unknown,2
3,0.6385561343193055,79.83,0.5567875951766967,82.45,20.04,Unknown,3
4,0.4792601167281469,85.16,0.3908670499563217,88.43,22.89,Unknown,4
5,0.3845180650234222,88.265,0.3522220892190933,89.11,26.78,Unknown,5
6,0.347949703836441,89.535,0.2967835432529449,91.45,31.26,Unknown,6
7,0.3250605941931406,90.16833333333334,0.2864224123001098,91.28,34.14,Unknown,7
8,0.2993377101103465,91.08666666666667,0.2595290080308914,92.66,35.67,Unknown,8
9,0.2833403862555821,91.535,0.2559964852571487,92.58,36.58,Unknown,9
10,0.2769245507796605,91.685,0.2523218095421791,92.81,37.99,Unknown,10
