epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.6437013170878092,50.6,1.2183038206100465,75.15,16.3,Unknown,1
2,1.112305366007487,79.07,0.989868628501892,85.73,19.95,Unknown,2
3,0.9394988384882608,87.05,0.853396976184845,90.99,21.21,Unknown,3
4,0.8544134950637817,90.525,0.8139611983299255,92.72,24.68,Unknown,4
5,0.8020862679799398,92.61333333333332,0.7674629878997803,94.05,25.38,Unknown,5
6,0.771612248357137,93.46833333333332,0.7404946120262146,94.56,24.63,Unknown,6
7,0.7509257966677347,94.10166666666667,0.7291798603057862,94.87,24.47,Unknown,7
8,0.7390871512095133,94.44166666666666,0.7245630447387695,94.94,25.14,Unknown,8
9,0.7321024092992147,94.76333333333334,0.7186225944519044,95.25,27.31,Unknown,9
10,0.7282626461346944,94.92,0.7175729923248291,95.33,31.61,Unknown,10
