epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.5691695076624552,42.708333333333336,1.1171848466873169,59.52,8.92,Unknown,1
2,0.9189586279551188,70.30666666666667,0.6887334148883819,77.46,8.92,Unknown,2
3,0.6047709664503733,81.07666666666667,0.4724293190956116,85.52,8.92,Unknown,3
4,0.4764243906021118,85.135,0.4003699367523193,87.88,8.92,Unknown,4
5,0.4040470928033193,87.585,0.346316508436203,89.67,10.09,Unknown,5
6,0.3689768089135488,88.76333333333334,0.3343637986421585,90.05,19.5,Unknown,6
7,0.3456998658021291,89.51333333333334,0.3055232413053512,90.97,25.82,Unknown,7
8,0.3291557371934255,89.91666666666667,0.2997574603796005,91.14,29.67,Unknown,8
9,0.3178349384943644,90.43,0.2958754679679871,91.39,33.79,Unknown,9
10,0.3111558861573537,90.60166666666667,0.2877363397121429,91.6,37.55,Unknown,10
