epoch,train_loss,train_acc,test_loss,test_acc,ema_test_acc,optimizer,elapsed_seconds
1,1.63078019434611,52.24333333333333,1.2197839767456056,74.85,19.52,Unknown,1
2,1.0888234721183776,80.535,0.9505417978286744,87.05,19.09,Unknown,2
3,0.9131290910085044,88.35333333333334,0.8744071667671204,90.11,19.07,Unknown,3
4,0.8353234712600708,91.435,0.7875498174667358,92.89,18.91,Unknown,4
5,0.7932848337809245,92.74333333333334,0.7639097076416016,94.03,19.18,Unknown,5
6,0.7652714358011882,93.63333333333334,0.7442513506889343,94.48,19.63,Unknown,6
7,0.7478291985193888,94.23666666666666,0.7304182754516602,94.89,20.2,Unknown,7
8,0.7351132702191671,94.64833333333333,0.7226247976303101,95.15,21.06,Unknown,8
9,0.7279552198092143,94.77166666666666,0.7203197774887085,95.18,21.68,Unknown,9
10,0.7243192599614461,94.94,0.7182936640739441,95.3,22.64,Unknown,10
