,SGD,SGD_Momentum,Adam,AdamW,AMSGrad
SGD,1.0,0.044919426908781764,0.04646917240519699,0.000263714117802249,0.0002682925833051637
SGD_Momentum,0.044919426908781764,1.0,1.0,0.0003520550525396622,0.0015641160991864012
Adam,0.04646917240519699,1.0,1.0,0.3785347235403065,0.5637254901960784
AdamW,0.000263714117802249,0.0003520550525396622,0.3785347235403065,1.0,1.0
AMSGrad,0.0002682925833051637,0.0015641160991864012,0.5637254901960784,1.0,1.0
