beta,effective_lr,final_loss,convergence_iters,smoothness,oscillation_index,mean_update_magnitude,final_grad_norm,converged,diverged,status,optimizer
0.0,0.01,5.381866820416363,1001,-0.1839575951342681,0.6126126126126126,0.0008226530733468,0.0482760827025833,False,False,max_iters,SGD
0.5,0.01,5.381869129844137,1001,0.2085672865504302,0.3733733733733734,0.0010055144199518,0.0380748670138172,False,False,max_iters,SGD
0.7,0.01,5.381865010590634,1001,0.3723204823794207,0.2792792792792792,0.0014348647580632,0.0030646541729101,False,False,max_iters,SGD
0.9,0.01,5.381869231721669,1001,0.5538160801479499,0.1561561561561561,0.0036155090944415,0.0715581421579581,False,False,max_iters,SGD
0.95,0.01,4.884100084840707,1001,0.6008974411924963,0.1581581581581581,0.007281845011221,0.0439629368299786,False,False,max_iters,SGD
0.99,0.01,3.574543592420611,1001,0.7153801916965542,0.075075075075075,0.041064356354626,0.1947847153775753,False,False,max_iters,SGD
