beta,effective_lr,final_loss,convergence_iters,smoothness,oscillation_index,mean_update_magnitude,final_grad_norm,test_function,optimizer,sweep_type,beta1,beta2
0.0,0.01,inf,1001,,0.006006006006006006,inf,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.5,0.01,inf,1001,-0.751553131259101,0.006006006006006006,2.5163820345669786e+126,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.7,0.01,inf,1001,-0.7444483436106685,0.005005005005005005,3.623325274356656e+140,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.9,0.01,inf,1001,-0.5726129755285211,0.004004004004004004,inf,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.95,0.01,inf,1001,-0.5716312019911437,0.004004004004004004,inf,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.99,0.01,inf,1001,-0.5706947770779958,0.004004004004004004,inf,inf,rosenbrock,SGD_Momentum,momentum_beta,,
0.0,0.01,5.3818678839062954,1001,-0.17611679175967554,0.6196196196196196,0.0019608637255010062,0.041932326827814025,ackley,SGD_Momentum,momentum_beta,,
0.5,0.01,5.381966320621245,1001,0.21558518443597544,0.36236236236236236,0.002312354506104444,0.04202062591770747,ackley,SGD_Momentum,momentum_beta,,
0.7,0.01,5.382265025805477,1001,0.3509451912967246,0.28928928928928926,0.0028541432095742893,0.012949888523100299,ackley,SGD_Momentum,momentum_beta,,
0.9,0.01,5.382637428125605,1001,0.5383647175919746,0.1781781781781782,0.005737540184773644,0.36802526016935105,ackley,SGD_Momentum,momentum_beta,,
0.95,0.01,4.885598831902129,1001,0.6027903982981764,0.15815815815815815,0.010733643875816271,0.508435689165789,ackley,SGD_Momentum,momentum_beta,,
0.99,0.01,0.09649482221884798,1001,0.5542358576469627,0.14914914914914915,0.08260556765872573,5.534084207361832,ackley,SGD_Momentum,momentum_beta,,
,,0.0013696580003597528,1001,-0.02669270890162453,0.5285285285285285,0.006343414580312434,0.8947909937293469,rosenbrock,Adam,adam_beta,0.5,0.9
,,0.0006407121786830794,1001,0.14092130040182757,0.43743743743743746,0.005979785932802708,0.15972268078953214,rosenbrock,Adam,adam_beta,0.5,0.9142714285714286
,,0.0006775776998543418,1001,0.14276766855584166,0.43843843843843844,0.005934126009883011,0.03516127815994326,rosenbrock,Adam,adam_beta,0.5,0.9285428571428571
,,0.0009267803685577458,1001,0.34527942648282917,0.3283283283283283,0.005605034632783763,0.3819214624189806,rosenbrock,Adam,adam_beta,0.5,0.9428142857142857
,,0.0007650342898318179,1001,0.39672850890189637,0.2952952952952953,0.005524591738239009,0.4759205920066994,rosenbrock,Adam,adam_beta,0.5,0.9570857142857143
,,0.0008864499378097014,1001,0.6702119845335648,0.16216216216216217,0.005141061635588968,0.03241086220691105,rosenbrock,Adam,adam_beta,0.5,0.9713571428571429
,,0.0021695162113915005,1001,0.8826668167737853,0.057057057057057055,0.004654204485338959,0.04534667844553214,rosenbrock,Adam,adam_beta,0.5,0.9856285714285714
,,0.8385378146913544,1001,0.9993755548702652,0.0,0.002803368668560671,1.822050629062236,rosenbrock,Adam,adam_beta,0.5,0.9999
,,0.0004804248002943871,1001,0.08050967290297212,0.46646646646646645,0.005819734577502622,0.6415182638836571,rosenbrock,Adam,adam_beta,0.57,0.9
,,0.00024982748539403746,1001,0.06254291809120197,0.4744744744744745,0.005814478086623694,0.6983071014283488,rosenbrock,Adam,adam_beta,0.57,0.9142714285714286
,,0.00041071718371828256,1001,0.12977487616353242,0.45245245245245247,0.005680460289039162,0.3026156123873221,rosenbrock,Adam,adam_beta,0.57,0.9285428571428571
,,0.0004291758518087188,1001,0.12585069909170346,0.45145145145145144,0.005657776318346237,0.5556274509985127,rosenbrock,Adam,adam_beta,0.57,0.9428142857142857
,,0.0004348718892657683,1001,0.34950531511469984,0.3233233233233233,0.005360339326422225,1.5113655651679279,rosenbrock,Adam,adam_beta,0.57,0.9570857142857143
,,0.014061356587147742,1001,0.6077904079734054,0.18618618618618618,0.0050647417996444585,7.078262997494888,rosenbrock,Adam,adam_beta,0.57,0.9713571428571429
,,0.001166173599493297,1001,0.8687370698859735,0.06606606606606606,0.004601345212900497,0.03296107512759051,rosenbrock,Adam,adam_beta,0.57,0.9856285714285714
,,0.8257863114914692,1001,0.9990614119444001,0.0,0.002814047617683469,1.8056229931351795,rosenbrock,Adam,adam_beta,0.57,0.9999
,,0.003196541515991148,1001,0.03824600573100484,0.4914914914914915,0.0056198177910579,2.5656813091331774,rosenbrock,Adam,adam_beta,0.64,0.9
,,6.897036913866324e-05,1001,0.10996166102230293,0.45145145145145144,0.005492889811888955,0.3160943062282938,rosenbrock,Adam,adam_beta,0.64,0.9142714285714286
,,0.0009438050697952732,1001,0.08245408152593778,0.47347347347347346,0.005505449151615076,1.879377921814974,rosenbrock,Adam,adam_beta,0.64,0.9285428571428571
,,0.00010672706535810303,1001,0.13377850323788554,0.45045045045045046,0.005406545043955698,0.9352707971399192,rosenbrock,Adam,adam_beta,0.64,0.9428142857142857
,,8.658653310609367e-05,1001,0.27353142818611326,0.38038038038038036,0.0052010068906778485,0.01093014504630405,rosenbrock,Adam,adam_beta,0.64,0.9570857142857143
,,0.00014192367377069003,1001,0.5027936790973303,0.25225225225225223,0.004961718968233464,0.11195679464231865,rosenbrock,Adam,adam_beta,0.64,0.9713571428571429
,,0.0005344729372839587,1001,0.8574013139068907,0.06906906906906907,0.004573361075327965,0.42215475592450846,rosenbrock,Adam,adam_beta,0.64,0.9856285714285714
,,0.8194196632296833,1001,0.9987938170558373,0.0,0.0028236245945902107,1.7971912222486788,rosenbrock,Adam,adam_beta,0.64,0.9999
,,1.101978385690304e-05,1001,0.12242129168420134,0.44844844844844844,0.005266731532435438,0.29568411632708846,rosenbrock,Adam,adam_beta,0.71,0.9
,,1.9289277052422624e-05,1001,0.14499190401597464,0.4364364364364364,0.00521012848309574,0.13776672410139393,rosenbrock,Adam,adam_beta,0.71,0.9142714285714286
,,0.0018238410863802045,1001,0.10815811344040421,0.45845845845845845,0.005241200768904513,1.123924411929104,rosenbrock,Adam,adam_beta,0.71,0.9285428571428571
,,0.0003270286583076613,1001,0.18358039626297343,0.4244244244244244,0.005152614500455743,0.82228916171126,rosenbrock,Adam,adam_beta,0.71,0.9428142857142857
,,0.0001477699887528036,1001,0.2467334265266233,0.3863863863863864,0.005057197829387044,0.12484527516149234,rosenbrock,Adam,adam_beta,0.71,0.9570857142857143
,,3.830996561756964e-05,1001,0.4779786397729375,0.2682682682682683,0.004838507564602034,0.04540776551488302,rosenbrock,Adam,adam_beta,0.71,0.9713571428571429
,,0.0001701459273783465,1001,0.8637632168502619,0.05905905905905906,0.004477215586832148,0.01370759766671953,rosenbrock,Adam,adam_beta,0.71,0.9856285714285714
,,0.8284212952445279,1001,0.9985017075056395,0.0,0.0028280428303544764,1.8085894144145693,rosenbrock,Adam,adam_beta,0.71,0.9999
,,1.280973970313354e-05,1001,0.12675447280680532,0.44344344344344344,0.005045508503698014,0.47458854559762514,rosenbrock,Adam,adam_beta,0.78,0.9
,,0.002364793208790142,1001,0.12122290701130173,0.44644644644644643,0.005038482093038342,2.174128582643218,rosenbrock,Adam,adam_beta,0.78,0.9142714285714286
,,0.00021154905110111206,1001,0.16292528819276636,0.4214214214214214,0.0049891219227673,0.8237761284340172,rosenbrock,Adam,adam_beta,0.78,0.9285428571428571
,,0.0010918160052471046,1001,0.1609140316304587,0.43243243243243246,0.004969735616799417,0.5715806904751604,rosenbrock,Adam,adam_beta,0.78,0.9428142857142857
,,0.0023310524798693132,1001,0.2571941407256381,0.3863863863863864,0.00487631720421957,1.3505982787454571,rosenbrock,Adam,adam_beta,0.78,0.9570857142857143
,,0.00024587763985406364,1001,0.41905066870133667,0.2982982982982983,0.004750687351835457,0.7028833279689485,rosenbrock,Adam,adam_beta,0.78,0.9713571428571429
,,0.0005007553864654947,1001,0.8386248887497539,0.07707707707707707,0.004449038855319072,0.6076515134636211,rosenbrock,Adam,adam_beta,0.78,0.9856285714285714
,,0.8754608643701319,1001,0.9980152130567137,0.001001001001001001,0.0028174939486828683,1.8670347468532096,rosenbrock,Adam,adam_beta,0.78,0.9999
,,0.00013632454491454684,1001,0.14999050509279085,0.4194194194194194,0.004815332546507792,0.8160814431922091,rosenbrock,Adam,adam_beta,0.85,0.9
,,0.00019755467637129446,1001,0.12590340476212025,0.43743743743743746,0.004815910920151562,0.3163942117716981,rosenbrock,Adam,adam_beta,0.85,0.9142714285714286
,,8.780597112959936e-05,1001,0.13306285738575188,0.4364364364364364,0.004796991466687901,0.08213943068825189,rosenbrock,Adam,adam_beta,0.85,0.9285428571428571
,,0.0003085305262612212,1001,0.17631136199663183,0.4134134134134134,0.004767354717641192,0.6391708541731272,rosenbrock,Adam,adam_beta,0.85,0.9428142857142857
,,0.00010069541374730909,1001,0.20998903319438772,0.3943943943943944,0.0047291285399715605,0.2017598097524628,rosenbrock,Adam,adam_beta,0.85,0.9570857142857143
,,0.0001334613506651098,1001,0.44081790422366396,0.27927927927927926,0.004610704825016566,0.7904629501910663,rosenbrock,Adam,adam_beta,0.85,0.9713571428571429
,,0.0024707408922764866,1001,0.8472650602298587,0.07207207207207207,0.004390760470992053,1.588778896239258,rosenbrock,Adam,adam_beta,0.85,0.9856285714285714
,,1.028129741047648,1001,0.997727290653694,0.0,0.0027649786376702772,2.0324571904394086,rosenbrock,Adam,adam_beta,0.85,0.9999
,,3.38016724246174e-05,1001,0.2997631932185378,0.34734734734734735,0.004636849748175793,0.1024086956424597,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9
,,2.850790908818285e-05,1001,0.25649965532019925,0.3683683683683684,0.004631433710566162,0.44419192700528587,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9142714285714286
,,2.390112449817663e-05,1001,0.21003434276274713,0.3913913913913914,0.004625583868879673,0.41915161564437214,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9285428571428571
,,3.1958822407462823e-06,1001,0.2053720238571486,0.3923923923923924,0.00460455850169756,0.1786603851238232,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9428142857142857
,,8.966127297287665e-05,1001,0.22811692453870358,0.38738738738738737,0.004581071851109184,0.38365384312829254,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9570857142857143
,,4.165951748547e-05,1001,0.3440947499425741,0.33133133133133136,0.004534216262198192,0.15563511057163762,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9713571428571429
,,3.719789100653565e-08,1001,0.8314325798623476,0.08308308308308308,0.004377669484706234,0.012955855935660399,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9856285714285714
,,1.5377995177296138,1001,0.9974242094977752,0.0,0.0025801757074488734,2.339282849386595,rosenbrock,Adam,adam_beta,0.9199999999999999,0.9999
,,5.623090224261292,1001,0.9942520517455253,0.0,0.002549515201469167,55.78140541538874,rosenbrock,Adam,adam_beta,0.99,0.9
,,5.055413204815076,1001,0.9945215862322087,0.0,0.0024342632055496275,41.29260294771696,rosenbrock,Adam,adam_beta,0.99,0.9142714285714286
,,3.916276504181691,1001,0.9950699168740995,0.0,0.0023801113664496743,4.701915400560969,rosenbrock,Adam,adam_beta,0.99,0.9285428571428571
,,3.275937390112895,1001,0.9958191946712867,0.0,0.002481471829938067,8.609812462867124,rosenbrock,Adam,adam_beta,0.99,0.9428142857142857
,,1.7335997579056734,1001,0.9966259029260429,0.0,0.002991565837082567,6.136912282932872,rosenbrock,Adam,adam_beta,0.99,0.9570857142857143
,,0.2737424401547096,1001,0.9971023961651592,0.0,0.003904116978670111,9.74423630519024,rosenbrock,Adam,adam_beta,0.99,0.9713571428571429
,,0.008058487779929078,1001,0.997446282642107,0.0,0.004380775666005308,1.030332689708971,rosenbrock,Adam,adam_beta,0.99,0.9856285714285714
,,3.569336661426664,1001,0.9977168106424558,0.0,0.0017824331811096988,1.996492921891581,rosenbrock,Adam,adam_beta,0.99,0.9999
