Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
Adam_trajectory,-125.2565,N/A,1.0000,0.0000,1000.0000
SGD_Momentum_trajectory,-4461848013767522053846114758702374417854986452992.0000,N/A,1.0000,0.0000,1000.0000
SGD_trajectory,-66.0225,N/A,1.0000,0.0000,1000.0000
saddle_escape_summary,-125.2565,N/A,N/A,N/A,N/A
