Optimizer/Config,Final Loss,Loss Std,Final Test Acc (%),Acc Std (%),Speed (iters/sec)
SGD_Momentum_wd0.0e+00,N/A,N/A,89.0800,0.1130,N/A
SGD_Momentum_wd1.0e-02,N/A,N/A,89.0800,0.1130,N/A
SGD_Momentum_wd1.0e-03,N/A,N/A,89.0800,0.1130,N/A
SGD_Momentum_wd1.0e-04,N/A,N/A,89.0800,0.1130,N/A
SGD_Momentum_wd1.0e-05,N/A,N/A,89.0800,0.1130,N/A
SGD_Momentum_wd1.0e-06,N/A,N/A,89.0800,0.1130,N/A
SGD_wd0.0e+00,N/A,N/A,89.0800,0.1130,N/A
SGD_wd1.0e-02,N/A,N/A,89.0800,0.1130,N/A
SGD_wd1.0e-03,N/A,N/A,89.0800,0.1130,N/A
SGD_wd1.0e-04,N/A,N/A,89.0800,0.1130,N/A
SGD_wd1.0e-05,N/A,N/A,89.0800,0.1130,N/A
SGD_wd1.0e-06,N/A,N/A,89.0800,0.1130,N/A
