Seed,Augmentation,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,None,97.94,92.5,0.08780004765508295,0.2482671206817031
42,Standard,92.21,94.15,0.2645597640849367,0.21529770316556096
