Seed,Label_Smoothing,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,0.0,97.94,92.5,0.08780004765508295,0.2482671206817031
42,0.05,98.0,93.55,0.1544917118323,0.28374672401696444
42,0.1,97.85,93.6,0.22094281112091452,0.34899286925792694
42,0.15,97.66,93.4,0.2893838808883595,0.4168482068926096
42,0.2,97.52,93.45,0.3598924350889423,0.4867255911231041
