Seed,Hidden_Size,Num_Parameters,Train_Acc,Test_Acc,Train_Loss,Test_Loss
42,32,25450,96.71,91.35,0.12099064537618734,0.28915213141590357
42,64,50890,97.75,91.75,0.09020865369069425,0.24920975044369698
42,128,101770,97.94,92.5,0.08780004765508295,0.2482671206817031
42,256,203530,98.29,92.35,0.07881782366599463,0.23072975128889084
42,512,407050,98.5,92.8,0.06898149338704121,0.217920261900872
