epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1251898038228352,1.1251898038228352,0.5433681557655334,86.95,86.95,SAM_rho_0.02,1
2,0.4711815283457438,0.4711815283457438,0.3910334875106812,89.55,89.55,SAM_rho_0.02,2
3,0.3807454844315847,0.3807454844315847,0.3401499797821045,90.54,90.54,SAM_rho_0.02,3
4,0.340784352795283,0.340784352795283,0.3125338408470153,91.26,91.26,SAM_rho_0.02,4
5,0.3155644892215729,0.3155644892215729,0.29261851272583,91.7,91.7,SAM_rho_0.02,5
6,0.2968277523040771,0.2968277523040771,0.2776775954246521,91.96,91.96,SAM_rho_0.02,6
7,0.281336539030075,0.281336539030075,0.2654134501457214,92.41,92.41,SAM_rho_0.02,7
8,0.2680566223462423,0.2680566223462423,0.2537078722476959,92.72,92.72,SAM_rho_0.02,8
9,0.2563559606313705,0.2563559606313705,0.2440562299251556,93.02,93.02,SAM_rho_0.02,9
10,0.2456220517476399,0.2456220517476399,0.2344666825294494,93.23,93.23,SAM_rho_0.02,10
