epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.149161702632904,1.149161702632904,0.5493598487854003,87.03,87.03,SAM_rho_0.01,1
2,0.4740556272347768,0.4740556272347768,0.3933195219039917,89.32,89.32,SAM_rho_0.01,2
3,0.3821094343662262,0.3821094343662262,0.3409150425910949,90.4,90.4,SAM_rho_0.01,3
4,0.341224121872584,0.341224121872584,0.3119769631385803,91.21,91.21,SAM_rho_0.01,4
5,0.3153093321243922,0.3153093321243922,0.2922973347663879,91.76,91.76,SAM_rho_0.01,5
6,0.2960789185682932,0.2960789185682932,0.2765148209571838,92.27,92.27,SAM_rho_0.01,6
7,0.2803890320301055,0.2803890320301055,0.264059256029129,92.57,92.57,SAM_rho_0.01,7
8,0.26709742547671,0.26709742547671,0.2523761253356933,92.95,92.95,SAM_rho_0.01,8
9,0.2554745113213857,0.2554745113213857,0.2429207556724548,93.18,93.18,SAM_rho_0.01,9
10,0.2448008126894633,0.2448008126894633,0.2337010466575622,93.33,93.33,SAM_rho_0.01,10
