epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1627478425979614,1.1627478425979614,0.547647913646698,86.34,86.34,SAM_rho_0.05,1
2,0.4730489799658457,0.4730489799658457,0.3896108778953552,89.56,89.56,SAM_rho_0.05,2
3,0.3807040432453155,0.3807040432453155,0.3375822682380676,90.71,90.71,SAM_rho_0.05,3
4,0.338815030781428,0.338815030781428,0.3081397398948669,91.25,91.25,SAM_rho_0.05,4
5,0.3126384030739466,0.3126384030739466,0.2875221200942993,91.83,91.83,SAM_rho_0.05,5
6,0.2929876306533813,0.2929876306533813,0.2709797924995422,92.28,92.28,SAM_rho_0.05,6
7,0.2768765733718872,0.2768765733718872,0.2591447782039642,92.69,92.69,SAM_rho_0.05,7
8,0.2633003854036331,0.2633003854036331,0.2469394666194915,93.06,93.06,SAM_rho_0.05,8
9,0.2513993307113647,0.2513993307113647,0.2372707806587219,93.41,93.41,SAM_rho_0.05,9
10,0.2406700450261434,0.2406700450261434,0.2276813104152679,93.5,93.5,SAM_rho_0.05,10
