epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.2478331265767415,1.2478331265767415,0.5773799875259399,85.65,85.65,SAM_rho_0.2,1
2,0.4918560737450917,0.4918560737450917,0.4005943256378174,89.39,89.39,SAM_rho_0.2,2
3,0.3875487055460612,0.3875487055460612,0.3411515007019043,90.77,90.77,SAM_rho_0.2,3
4,0.3417957722822825,0.3417957722822825,0.3083605861663818,91.42,91.42,SAM_rho_0.2,4
5,0.3115334184805552,0.3115334184805552,0.2841887733459473,92.09,92.09,SAM_rho_0.2,5
6,0.2892717922369639,0.2892717922369639,0.2673333997249603,92.59,92.59,SAM_rho_0.2,6
7,0.2715642170270284,0.2715642170270284,0.2507515016555786,93.08,93.08,SAM_rho_0.2,7
8,0.2563756387631098,0.2563756387631098,0.2377793000221252,93.37,93.37,SAM_rho_0.2,8
9,0.2435114129622777,0.2435114129622777,0.2275672873973846,93.72,93.72,SAM_rho_0.2,9
10,0.2323332778135935,0.2323332778135935,0.2177130819797516,93.95,93.95,SAM_rho_0.2,10
