epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1192219486554464,1.1192219486554464,0.5361585318565368,87.35,87.35,SAM_rho_0.02,1
2,0.4679099585692088,0.4679099585692088,0.3896693860054016,89.62,89.62,SAM_rho_0.02,2
3,0.381142458820343,0.381142458820343,0.3396927844047546,90.55,90.55,SAM_rho_0.02,3
4,0.3422998844782511,0.3422998844782511,0.3115616309165954,91.34,91.34,SAM_rho_0.02,4
5,0.3175105626742045,0.3175105626742045,0.2926665363311768,91.79,91.79,SAM_rho_0.02,5
6,0.2989336548010508,0.2989336548010508,0.2784353508472442,92.17,92.17,SAM_rho_0.02,6
7,0.2837537987629572,0.2837537987629572,0.2654937984466552,92.5,92.5,SAM_rho_0.02,7
8,0.2702825177113215,0.2702825177113215,0.254702445268631,92.9,92.9,SAM_rho_0.02,8
9,0.2586664501825968,0.2586664501825968,0.2446389875411987,93.14,93.14,SAM_rho_0.02,9
10,0.2479535747766494,0.2479535747766494,0.235593587398529,93.41,93.41,SAM_rho_0.02,10
