epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1544359427452089,1.1544359427452089,0.5440113771438598,86.91,86.91,SAM_rho_0.02,1
2,0.4720828173478444,0.4720828173478444,0.3899692502975463,89.5,89.5,SAM_rho_0.02,2
3,0.3807420021216074,0.3807420021216074,0.3379181705474853,90.59,90.59,SAM_rho_0.02,3
4,0.3400714291890462,0.3400714291890462,0.3087137899398803,91.28,91.28,SAM_rho_0.02,4
5,0.3141425920645396,0.3141425920645396,0.2898609939575195,91.7,91.7,SAM_rho_0.02,5
6,0.2950502470493316,0.2950502470493316,0.2742104335784912,92.15,92.15,SAM_rho_0.02,6
7,0.2793950315395991,0.2793950315395991,0.2616848721981049,92.55,92.55,SAM_rho_0.02,7
8,0.2662249531269073,0.2662249531269073,0.2496801718711853,92.87,92.87,SAM_rho_0.02,8
9,0.254609600631396,0.254609600631396,0.2403640267372131,93.21,93.21,SAM_rho_0.02,9
10,0.2441584199587504,0.2441584199587504,0.231086174917221,93.4,93.4,SAM_rho_0.02,10
