epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1314343603134156,1.1314343603134156,0.5478235614776611,87.15,87.15,SAM_rho_0.02,1
2,0.4723372307618459,0.4723372307618459,0.3954479969024658,89.49,89.49,SAM_rho_0.02,2
3,0.3824954386870066,0.3824954386870066,0.3433893175125122,90.42,90.42,SAM_rho_0.02,3
4,0.3428581459283829,0.3428581459283829,0.3150261797904968,91.13,91.13,SAM_rho_0.02,4
5,0.3177209364255269,0.3177209364255269,0.2957404919624328,91.57,91.57,SAM_rho_0.02,5
6,0.2989559475501378,0.2989559475501378,0.2800515085697174,92.13,92.13,SAM_rho_0.02,6
7,0.2837940576235453,0.2837940576235453,0.266927217054367,92.39,92.39,SAM_rho_0.02,7
8,0.2707379928588867,0.2707379928588867,0.2559072269439697,92.75,92.75,SAM_rho_0.02,8
9,0.2587142968654632,0.2587142968654632,0.2462222650051116,93.08,93.08,SAM_rho_0.02,9
10,0.2481555849949518,0.2481555849949518,0.2367411444187164,93.29,93.29,SAM_rho_0.02,10
