epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.126347571849823,1.126347571849823,0.540984833908081,87.17,87.17,SAM_rho_0.01,1
2,0.4679954531033833,0.4679954531033833,0.392498278427124,89.48,89.48,SAM_rho_0.01,2
3,0.3800564043045044,0.3800564043045044,0.3406852398872375,90.46,90.46,SAM_rho_0.01,3
4,0.3399854535897573,0.3399854535897573,0.3129834495544433,91.19,91.19,SAM_rho_0.01,4
5,0.3145685230096181,0.3145685230096181,0.2932846687316894,91.71,91.71,SAM_rho_0.01,5
6,0.2953394641558329,0.2953394641558329,0.2772958420753479,92.13,92.13,SAM_rho_0.01,6
7,0.2800936105887095,0.2800936105887095,0.2642224161624908,92.52,92.52,SAM_rho_0.01,7
8,0.2669390027284622,0.2669390027284622,0.2535947082519531,92.85,92.85,SAM_rho_0.01,8
9,0.255435019938151,0.255435019938151,0.2439065954208374,93.2,93.2,SAM_rho_0.01,9
10,0.2450903135617574,0.2450903135617574,0.2345339437007904,93.42,93.42,SAM_rho_0.01,10
