epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1594932337760926,1.1594932337760926,0.5521356929779053,86.85,86.85,SAM_rho_0.1,1
2,0.4737248509565989,0.4737248509565989,0.3898622246742249,89.73,89.73,SAM_rho_0.1,2
3,0.3796537448724111,0.3796537448724111,0.3379444158554077,90.61,90.61,SAM_rho_0.1,3
4,0.3379464878877004,0.3379464878877004,0.3079084358215332,91.36,91.36,SAM_rho_0.1,4
5,0.3112172318061192,0.3112172318061192,0.2873618741989135,91.94,91.94,SAM_rho_0.1,5
6,0.2911847404638926,0.2911847404638926,0.2711222198009491,92.39,92.39,SAM_rho_0.1,6
7,0.2746371813615163,0.2746371813615163,0.2577377194404602,92.55,92.55,SAM_rho_0.1,7
8,0.2605989334662755,0.2605989334662755,0.2453924353599548,92.94,92.94,SAM_rho_0.1,8
9,0.248164694960912,0.248164694960912,0.2350527652740478,93.37,93.37,SAM_rho_0.1,9
10,0.2372936954498291,0.2372936954498291,0.2251763520717621,93.56,93.56,SAM_rho_0.1,10
