epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1459091778437296,1.1459091778437296,0.5445236949920654,87.03,87.03,SAM_rho_0.02,1
2,0.4695490721861521,0.4695490721861521,0.3879965878486633,89.49,89.49,SAM_rho_0.02,2
3,0.3781509278138478,0.3781509278138478,0.3371248662948608,90.62,90.62,SAM_rho_0.02,3
4,0.3382836506684621,0.3382836506684621,0.3091599639892578,91.37,91.37,SAM_rho_0.02,4
5,0.3131465087413788,0.3131465087413788,0.2905718188285827,91.65,91.65,SAM_rho_0.02,5
6,0.2946107827822367,0.2946107827822367,0.2740891494750976,92.08,92.08,SAM_rho_0.02,6
7,0.2790637969811757,0.2790637969811757,0.2623820430278778,92.53,92.53,SAM_rho_0.02,7
8,0.265983247534434,0.265983247534434,0.2520054627418518,92.91,92.91,SAM_rho_0.02,8
9,0.2545798560539881,0.2545798560539881,0.2420791769981384,93.22,93.22,SAM_rho_0.02,9
10,0.2440126324335734,0.2440126324335734,0.232382375383377,93.46,93.46,SAM_rho_0.02,10
