epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1585103742599487,1.1585103742599487,0.54341840133667,87.14,87.14,SAM_rho_0.05,1
2,0.4682111734390258,0.4682111734390258,0.3890096601486206,89.69,89.69,SAM_rho_0.05,2
3,0.3779413133621215,0.3779413133621215,0.3385163403511047,90.59,90.59,SAM_rho_0.05,3
4,0.3379723228613535,0.3379723228613535,0.3098411766052246,91.28,91.28,SAM_rho_0.05,4
5,0.3127141923427581,0.3127141923427581,0.290289136314392,91.9,91.9,SAM_rho_0.05,5
6,0.2933911248922348,0.2933911248922348,0.27400021276474,92.37,92.37,SAM_rho_0.05,6
7,0.2776571995099385,0.2776571995099385,0.2614019373893738,92.7,92.7,SAM_rho_0.05,7
8,0.2642005662202835,0.2642005662202835,0.2502084249973297,92.97,92.97,SAM_rho_0.05,8
9,0.2523156101942062,0.2523156101942062,0.240357933473587,93.32,93.32,SAM_rho_0.05,9
10,0.2416020123958587,0.2416020123958587,0.2307229535579681,93.53,93.53,SAM_rho_0.05,10
