epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1387815925280254,1.1387815925280254,0.549305510520935,86.94,86.94,SAM_rho_0.05,1
2,0.4729801723957061,0.4729801723957061,0.3955144174575806,89.42,89.42,SAM_rho_0.05,2
3,0.3823298571268717,0.3823298571268717,0.3413345067024231,90.52,90.52,SAM_rho_0.05,3
4,0.342015919415156,0.342015919415156,0.3135231836318969,91.28,91.28,SAM_rho_0.05,4
5,0.3166441993713378,0.3166441993713378,0.2944454482078552,91.76,91.76,SAM_rho_0.05,5
6,0.2972020770470301,0.2972020770470301,0.2785039024829864,92.15,92.15,SAM_rho_0.05,6
7,0.2813753992875417,0.2813753992875417,0.2651679005622864,92.51,92.51,SAM_rho_0.05,7
8,0.2678234309514363,0.2678234309514363,0.2523816336631775,92.67,92.67,SAM_rho_0.05,8
9,0.2555016369660695,0.2555016369660695,0.2420939275741577,93.16,93.16,SAM_rho_0.05,9
10,0.2443938956022262,0.2443938956022262,0.2327272670269012,93.51,93.51,SAM_rho_0.05,10
