epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.218888425954183,1.218888425954183,0.5766780615806579,86.32,86.32,SAM_rho_0.2,1
2,0.4906992678801218,0.4906992678801218,0.4011945024490356,89.51,89.51,SAM_rho_0.2,2
3,0.3867169227600097,0.3867169227600097,0.3410597131729126,90.74,90.74,SAM_rho_0.2,3
4,0.3409252065022786,0.3409252065022786,0.3086263312339782,91.57,91.57,SAM_rho_0.2,4
5,0.3120353077570597,0.3120353077570597,0.2863573384284973,92.07,92.07,SAM_rho_0.2,5
6,0.2903056572437286,0.2903056572437286,0.2689401570320129,92.42,92.42,SAM_rho_0.2,6
7,0.272778767379125,0.272778767379125,0.2529995221614837,92.84,92.84,SAM_rho_0.2,7
8,0.2576480188369751,0.2576480188369751,0.2412205278873443,93.22,93.22,SAM_rho_0.2,8
9,0.2447074382146199,0.2447074382146199,0.2290035452365875,93.44,93.44,SAM_rho_0.2,9
10,0.2330731975317001,0.2330731975317001,0.2192993677139282,93.72,93.72,SAM_rho_0.2,10
