epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1510020269711811,1.1510020269711811,0.5456222249031066,86.8,86.8,SAM_rho_0.1,1
2,0.4703286322752634,0.4703286322752634,0.3928900062561035,89.43,89.43,SAM_rho_0.1,2
3,0.3794054104646047,0.3794054104646047,0.3406762162208557,90.6,90.6,SAM_rho_0.1,3
4,0.3384421531359354,0.3384421531359354,0.3096446061134338,91.29,91.29,SAM_rho_0.1,4
5,0.3114289368152618,0.3114289368152618,0.2896881525993347,91.95,91.95,SAM_rho_0.1,5
6,0.2910101018985112,0.2910101018985112,0.2719466212749481,92.23,92.23,SAM_rho_0.1,6
7,0.274531988620758,0.274531988620758,0.25823092212677,92.8,92.8,SAM_rho_0.1,7
8,0.2604756375948588,0.2604756375948588,0.2451169961929321,93.1,93.1,SAM_rho_0.1,8
9,0.2483229723532994,0.2483229723532994,0.2346518072128295,93.53,93.53,SAM_rho_0.1,9
10,0.2371904159069061,0.2371904159069061,0.2249990238666534,93.69,93.69,SAM_rho_0.1,10
