epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.2032086152712504,1.2032086152712504,0.5772058698654174,86.25,86.25,SAM_rho_0.2,1
2,0.4909912317752838,0.4909912317752838,0.4009523516654968,89.33,89.33,SAM_rho_0.2,2
3,0.3890489236036936,0.3890489236036936,0.342940231513977,90.7,90.7,SAM_rho_0.2,3
4,0.3430040755748749,0.3430040755748749,0.3098805011749267,91.44,91.44,SAM_rho_0.2,4
5,0.3136081473827362,0.3136081473827362,0.2868248321533203,91.97,91.97,SAM_rho_0.2,5
6,0.2914914859771728,0.2914914859771728,0.2690056343078613,92.5,92.5,SAM_rho_0.2,6
7,0.2737978729486465,0.2737978729486465,0.2534680988311767,92.99,92.99,SAM_rho_0.2,7
8,0.2587776574134827,0.2587776574134827,0.2408980149745941,93.23,93.23,SAM_rho_0.2,8
9,0.2454108383337656,0.2454108383337656,0.2299363781452179,93.54,93.54,SAM_rho_0.2,9
10,0.2342172314802805,0.2342172314802805,0.2194274328708648,93.88,93.88,SAM_rho_0.2,10
