epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1352343494097392,1.1352343494097392,0.5412627312660218,87.32,87.32,SAM_rho_0.05,1
2,0.4683801204681396,0.4683801204681396,0.3930425518989563,89.4,89.4,SAM_rho_0.05,2
3,0.3792398063500722,0.3792398063500722,0.3399496005058288,90.52,90.52,SAM_rho_0.05,3
4,0.3387023811976115,0.3387023811976115,0.3112173436164856,91.25,91.25,SAM_rho_0.05,4
5,0.3127894035895665,0.3127894035895665,0.2902511744499206,91.78,91.78,SAM_rho_0.05,5
6,0.2931451274553934,0.2931451274553934,0.2744577224731445,92.3,92.3,SAM_rho_0.05,6
7,0.2773552630901336,0.2773552630901336,0.2603896268844604,92.66,92.66,SAM_rho_0.05,7
8,0.2639718678633372,0.2639718678633372,0.2494307989120483,92.97,92.97,SAM_rho_0.05,8
9,0.2519048788070678,0.2519048788070678,0.2397361495971679,93.25,93.25,SAM_rho_0.05,9
10,0.2414562913974126,0.2414562913974126,0.2297412738323211,93.61,93.61,SAM_rho_0.05,10
