epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.169759986114502,1.169759986114502,0.5499927742004395,87.06,87.06,SAM_rho_0.1,1
2,0.4722541064421335,0.4722541064421335,0.3905771064758301,89.5,89.5,SAM_rho_0.1,2
3,0.3779222402731577,0.3779222402731577,0.3365637009620666,90.65,90.65,SAM_rho_0.1,3
4,0.336445428220431,0.336445428220431,0.306628588104248,91.4,91.4,SAM_rho_0.1,4
5,0.3101224427700043,0.3101224427700043,0.2862603545188903,91.88,91.88,SAM_rho_0.1,5
6,0.2901640539169312,0.2901640539169312,0.2697964877128601,92.31,92.31,SAM_rho_0.1,6
7,0.2737469258546829,0.2737469258546829,0.2562105194091796,92.86,92.86,SAM_rho_0.1,7
8,0.260033251396815,0.260033251396815,0.2441806594848632,93.24,93.24,SAM_rho_0.1,8
9,0.2477886564334233,0.2477886564334233,0.2351883456230163,93.46,93.46,SAM_rho_0.1,9
10,0.2368474831581115,0.2368474831581115,0.2243874787330627,93.7,93.7,SAM_rho_0.1,10
