epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.174777725950877,1.174777725950877,0.5536911828041077,86.8,86.8,SAM_rho_0.1,1
2,0.472552846399943,0.472552846399943,0.3914434013366699,89.61,89.61,SAM_rho_0.1,2
3,0.3778296881039937,0.3778296881039937,0.33760493850708,90.83,90.83,SAM_rho_0.1,3
4,0.3349529287974039,0.3349529287974039,0.307471120929718,91.57,91.57,SAM_rho_0.1,4
5,0.3073550971984863,0.3073550971984863,0.2843673815727234,92.17,92.17,SAM_rho_0.1,5
6,0.2861830902496973,0.2861830902496973,0.2677183779716491,92.53,92.53,SAM_rho_0.1,6
7,0.2694133745670318,0.2694133745670318,0.2540287267208099,92.96,92.96,SAM_rho_0.1,7
8,0.2550240954717,0.2550240954717,0.2412912916660309,93.35,93.35,SAM_rho_0.1,8
9,0.2426821636915206,0.2426821636915206,0.2304995970726013,93.51,93.51,SAM_rho_0.1,9
10,0.231456570760409,0.231456570760409,0.2215237603664398,93.79,93.79,SAM_rho_0.1,10
