epoch,train_loss,loss,test_loss,test_acc,val_acc,optimizer,elapsed_seconds
1,1.1559213872114815,1.1559213872114815,0.555971540737152,86.9,86.9,SAM_rho_0.1,1
2,0.4767271474997203,0.4767271474997203,0.3961394434928894,89.52,89.52,SAM_rho_0.1,2
3,0.383494837808609,0.383494837808609,0.3426533304214477,90.56,90.56,SAM_rho_0.1,3
4,0.3417641549269358,0.3417641549269358,0.3126195062637329,91.21,91.21,SAM_rho_0.1,4
5,0.3148729086558024,0.3148729086558024,0.2915565801620483,91.79,91.79,SAM_rho_0.1,5
6,0.2947344970862071,0.2947344970862071,0.2745459042549133,92.26,92.26,SAM_rho_0.1,6
7,0.2779454470157623,0.2779454470157623,0.2598694499969482,92.72,92.72,SAM_rho_0.1,7
8,0.2633840841611226,0.2633840841611226,0.2477970892429351,93.15,93.15,SAM_rho_0.1,8
9,0.2505951051155726,0.2505951051155726,0.2366243505001068,93.5,93.5,SAM_rho_0.1,9
10,0.2390408350467681,0.2390408350467681,0.2270768611907959,93.67,93.67,SAM_rho_0.1,10
