epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.4970483427365622,45.77666666666666,0.9584020672798156,68.34,Adam,1
2,0.7565491948286692,75.49166666666666,0.5332216081142426,83.38,Adam,2
3,0.5035171151161194,84.04666666666667,0.3858522038221359,88.34,Adam,3
4,0.3964385178089142,87.51,0.3072126934528351,90.69,Adam,4
5,0.3231129975954691,90.06666666666666,0.260900476694107,92.12,Adam,5
6,0.2749932999769847,91.42,0.2299652755618095,92.83,Adam,6
7,0.2407546314875285,92.61666666666666,0.1924629573345184,93.88,Adam,7
8,0.2144159694115321,93.395,0.1885357575416565,94.35,Adam,8
9,0.1984639338413874,93.85333333333334,0.1879584468722343,94.32,Adam,9
10,0.1795204262415568,94.45833333333331,0.1614585540473461,95.23,Adam,10
