epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.3682990878423056,52.635,0.7905055030822754,76.47,Adam,1
2,0.640264141813914,80.34666666666666,0.4256742023468017,88.15,Adam,2
3,0.421557072798411,87.16166666666666,0.3457935988426208,89.76,Adam,3
4,0.3390586598555247,89.59833333333333,0.2746082206249237,91.55,Adam,4
5,0.2898965343793233,91.01,0.2332810534596443,92.55,Adam,5
6,0.2466496918042501,92.29166666666669,0.2237200288653373,93.09,Adam,6
7,0.2216336146036784,93.35666666666668,0.1844664987415075,94.46,Adam,7
8,0.197033565723896,94.03333333333332,0.163456816843152,95.13,Adam,8
9,0.1769475911060969,94.635,0.1519634205400943,95.34,Adam,9
10,0.160463199198246,95.05,0.1320438292741775,95.92,Adam,10
