epoch,train_loss,train_acc,test_loss,test_acc
1,1.425323132197062,49.401666666666664,0.8747046239852905,72.81
2,0.6461694803078969,80.26,0.42546561081409456,86.96
3,0.3892662843704224,88.285,0.3272692680358887,89.88
4,0.29996414958635964,90.89,0.23632264189720154,92.81
5,0.24618976921240487,92.49333333333334,0.21995380251407623,93.36
6,0.2198382177988688,93.22166666666666,0.20407074598670005,93.62
7,0.20135898812611897,93.94,0.16050396957993507,95.23
8,0.17981317782004674,94.585,0.1728614598274231,94.79
9,0.1672542575756709,94.90833333333333,0.155803732419014,95.15
10,0.15894544026851654,95.14833333333333,0.14621345498859883,95.34
