epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.0791270563761393,65.55833333333334,0.4411265244483948,87.64,Adam,1
2,0.3727622734387715,89.145,0.3219205063104629,89.63,Adam,2
3,0.2687049855391184,91.9,0.2857947376728058,90.65,Adam,3
4,0.2254890222072601,93.15166666666669,0.1832770180404186,94.66,Adam,4
5,0.1922246713081995,94.06833333333331,0.1642782996058464,95.08,Adam,5
6,0.1709489640553792,94.715,0.1820977640748024,94.47,Adam,6
7,0.1641638820489247,94.96333333333334,0.1407135953068733,95.69,Adam,7
8,0.1455886924783389,95.58666666666667,0.1261786735773086,96.28,Adam,8
9,0.1338204284111658,95.93,0.1168155329674482,96.34,Adam,9
10,0.1271884546995162,96.18,0.1366665900945663,95.58,Adam,10
