epoch,train_loss,train_acc,test_loss,test_acc
1,1.2323547368367513,57.45333333333333,0.5923161344528198,83.08
2,0.4877016153971354,84.70333333333333,0.33490251617431643,89.89
3,0.3122511011282603,90.30666666666667,0.2879976991891861,90.67
4,0.24359990304311116,92.53166666666667,0.2382007559776306,92.18
5,0.2101710180123647,93.67166666666667,0.20649578799009324,93.12
6,0.17890256621042888,94.52666666666667,0.16102485266923905,95.2
7,0.1644654427409172,94.965,0.13046517732143403,96.02
8,0.14809450454711914,95.475,0.15483481733202933,95.02
9,0.13884704774220785,95.7,0.1298209298849106,95.94
10,0.12960175413688024,96.025,0.15997957791984083,94.95
