epoch,train_loss,train_acc,test_loss,test_acc
1,1.3229777597109478,54.66,0.7881284367561341,76.06
2,0.6230435539404551,81.075,0.4150490831613541,88.61
3,0.3714290596167247,88.86,0.2674898998439312,92.33
4,0.2817721743504206,91.37,0.21890941795110702,93.47
5,0.24041291657288869,92.57666666666667,0.21970639435648917,93.21
6,0.2149302803516388,93.33833333333334,0.17492027620673178,94.64
7,0.18704986421267192,94.36166666666666,0.17103966105878354,94.69
8,0.17038857208887737,94.835,0.15729524427652358,95.11
9,0.1577647032578786,95.16166666666666,0.13695191113650798,95.73
10,0.1449106141249339,95.59333333333333,0.12544288901090622,96.08
