epoch,train_loss,train_acc,test_loss,test_acc
1,1.1139811957995096,63.47666666666667,0.5287348411560059,85.8
2,0.43546129859288535,87.18166666666667,0.3085056878566742,91.21
3,0.3003387610912323,91.07833333333333,0.24067286224365234,92.99
4,0.2403793839852015,92.75,0.2027544018149376,93.81
5,0.20832071771621705,93.66166666666666,0.20667655557394027,93.62
6,0.186121768673261,94.22,0.17010847358703612,95.02
7,0.16520245031515757,94.96833333333333,0.15356898341178893,95.43
8,0.1526772970199585,95.39166666666667,0.14032358839511871,95.82
9,0.143175376868248,95.62333333333333,0.13052777808904648,96.03
10,0.13861249474684398,95.76166666666667,0.14730574895143508,95.41
