epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.4025058540344235,51.04666666666667,0.7998684219360351,73.97,Adam,1
2,0.6223396074295044,81.02666666666667,0.4403582161903381,86.74,Adam,2
3,0.3988917589743932,87.98666666666666,0.3135041040658951,90.28,Adam,3
4,0.3129337742169698,90.47666666666667,0.2827707315921783,91.6,Adam,4
5,0.2662792299350103,91.915,0.2389316217422485,93.01,Adam,5
6,0.2359351558248202,92.825,0.2056143881916999,93.76,Adam,6
7,0.2103802480896314,93.645,0.1737794989585876,94.64,Adam,7
8,0.1933647228479385,94.08666666666667,0.1840353841185569,94.29,Adam,8
9,0.1796139348665873,94.63333333333334,0.1594447985768318,95.13,Adam,9
10,0.163517513624827,95.02833333333334,0.1486552357077598,95.26,Adam,10
