epoch,train_loss,train_acc,test_loss,test_acc,optimizer,elapsed_seconds
1,1.277335623963674,56.95666666666666,0.6492730778694152,82.03,Adam,1
2,0.5090913215001425,84.985,0.3589000780582428,89.79,Adam,2
3,0.3273491586049398,90.39333333333332,0.2568327457904815,92.62,Adam,3
4,0.2660413693507512,92.04,0.2045784294128418,93.91,Adam,4
5,0.2308017963727315,93.01,0.182489014172554,94.51,Adam,5
6,0.2014753988265991,93.87166666666668,0.1942994311809539,94.07,Adam,6
7,0.1867751928806305,94.33666666666667,0.1712922571003437,94.55,Adam,7
8,0.1697646831750869,94.75333333333332,0.1508791448414325,95.47,Adam,8
9,0.1587553485552469,95.155,0.1638612907707691,95.04,Adam,9
10,0.1452332404295603,95.55,0.1265182813614606,96.33,Adam,10
