epoch,train_loss,train_acc,test_loss,test_acc
1,1.8395288273493449,33.19833333333333,1.3236215955734254,48.44
2,0.9680522903124491,66.96833333333333,0.603019929409027,82.27
3,0.5250810866355896,83.36333333333333,0.37865102150440216,88.84
4,0.33437651767730714,89.645,0.2382746083021164,92.5
5,0.26132240447998045,92.03666666666666,0.20466997783184052,93.77
6,0.21622094878355663,93.36,0.18928942660093306,93.89
7,0.19335587173302968,94.04166666666667,0.16573102123737335,94.97
8,0.17454473824898403,94.59166666666667,0.18794552406072618,93.61
9,0.16419945941368738,95.075,0.14775711454153062,95.34
10,0.14665768257776896,95.58166666666666,0.1314147027015686,95.92
